period,vacancy
2023 Q3 QTD,0.053
2023 Q2,0.056
2023 Q1,0.060
2022 Q4,0.060
2022 Q3,0.056
2022 Q2,0.062
2022 Q1,0.062
2021 Q4,0.045
2021 Q3,0.039
2021 Q2,0.041
2021 Q1,0.047
2020 Q4,0.059
2020 Q3,0.073
2020 Q2,0.090
2020 Q1,0.083
2019 Q4,0.092
2019 Q3,0.097
2019 Q2,0.066
2019 Q1,0.063
2018 Q4,0.063
2018 Q3,0.055
2018 Q2,0.056
2018 Q1,0.075
2017 Q4,0.069
2017 Q3,0.068
2017 Q2,0.073
2017 Q1,0.076
2016 Q4,0.076
2016 Q3,0.067
2016 Q2,0.067
2016 Q1,0.066
2015 Q4,0.068
2015 Q3,0.071
2015 Q2,0.063
2015 Q1,0.064
2014 Q4,0.067
2014 Q3,0.069
2014 Q2,0.070
2014 Q1,0.071
2013 Q4,0.074
2013 Q3,0.074
2013 Q2,0.069
2013 Q1,0.070
2012 Q4,0.070
2012 Q3,0.069
2012 Q2,0.069
2012 Q1,0.070
2011 Q4,0.071
2011 Q3,0.073
2011 Q2,0.069
2011 Q1,0.071
2010 Q4,0.074
2010 Q3,0.071
2010 Q2,0.072
2010 Q1,0.074
2009 Q4,0.074
2009 Q3,0.075
2009 Q2,0.076
2009 Q1,0.077
2008 Q4,0.080
2008 Q3,0.076
2008 Q2,0.079
2008 Q1,0.081
2007 Q4,0.070
2007 Q3,0.068
2007 Q2,0.069
2007 Q1,0.073
2006 Q4,0.075
2006 Q3,0.078
2006 Q2,0.084
2006 Q1,0.091
2005 Q4,0.102
2005 Q3,0.079
2005 Q2,0.079
2005 Q1,0.080
2004 Q4,0.081
2004 Q3,0.082
2004 Q2,0.083
2004 Q1,0.083
2003 Q4,0.082
2003 Q3,0.080
2003 Q2,0.079
2003 Q1,0.077
2002 Q4,0.076
2002 Q3,0.075
2002 Q2,0.075
2002 Q1,0.076
2001 Q4,0.073
2001 Q3,0.073
2001 Q2,0.073
2001 Q1,0.075
2000 Q4,0.074
2000 Q3,0.075
2000 Q2,0.075
2000 Q1,0.075
